Customer_No,Prediction,Probability_Prediction
90388,0,0.074479653
90389,0,0.113203803
90390,0,0.128218427
90391,0,0.057998954
90392,0,0.062964865
90393,0,0.073171189
90394,1,0.363644434
90395,1,0.285239723
90396,0,0.086160688
90397,0,0.062951647
90398,0,0.051749094
90399,0,0.111527027
90400,0,0.068219746
90401,1,0.269070734
90402,1,0.327167084
90403,0,0.074599458
90404,0,0.061123604
90405,0,0.115234875
90406,0,0.19937242
90407,0,0.086207841
90408,0,0.077344511
90409,0,0.061766447
90410,0,0.088727254
90411,1,0.302892946
90412,0,0.060663516
90413,0,0.101876986
90414,1,0.337158643
90415,0,0.123684297
90416,0,0.055191952
90417,0,0.115017704
90418,0,0.088010143
90419,0,0.051877153
90420,0,0.044621634
90421,0,0.108473018
90422,0,0.0441593
90423,0,0.063493961
90424,1,0.254580064
90425,0,0.059771177
90426,0,0.085619486
90427,0,0.080479775
90428,0,0.090571203
90429,0,0.075192772
90430,0,0.21787691
90431,0,0.061858489
90432,0,0.081063887
90433,0,0.092166818
90434,0,0.072529832
90435,0,0.130242011
90436,0,0.079529076
90437,0,0.10617577
90438,0,0.077053935
90439,0,0.141461291
90440,0,0.197794464
90441,0,0.067807019
90442,0,0.160420756
90443,0,0.06343645
90444,0,0.153308485
90445,0,0.142460357
90446,0,0.08771896
90447,1,0.399329782
90448,0,0.066102391
90449,0,0.053946869
90450,0,0.168901954
90451,0,0.084987222
90452,0,0.124442428
90453,0,0.065929871
90454,0,0.059866856
90455,0,0.066629656
90456,0,0.093211083
90457,0,0.057381128
90458,1,0.326301192
90459,0,0.056945112
90460,0,0.116392523
90461,0,0.213836
90462,0,0.067985393
90463,0,0.06528482
90464,0,0.08132517
90465,0,0.135431443
90466,1,0.22065152
90467,1,0.284366253
90468,0,0.089891964
90469,0,0.073144067
90470,0,0.061419945
90471,0,0.068095402
90472,0,0.082463695
90473,0,0.172320721
90474,0,0.074641722
90475,1,0.277116823
90476,0,0.061826563
90477,1,0.261598479
90478,0,0.098441481
90479,0,0.10001752
90480,0,0.054836908
90481,0,0.065574699
90482,0,0.067790408
90483,0,0.120501986
90484,1,0.230054181
90485,0,0.059829949
90486,0,0.057844714
90487,1,0.238341482
90488,0,0.071489534
90489,0,0.092838058
90490,0,0.118564788
90491,0,0.0322169
90492,0,0.079896621
90493,0,0.074926788
90494,0,0.070272331
90495,1,0.370709146
90496,0,0.053614361
90497,0,0.128455631
90498,1,0.318424523
90499,1,0.278880716
90500,0,0.066832903
90501,0,0.109484482
90502,0,0.077161281
90503,0,0.11633402
90504,0,0.122940523
90505,0,0.083739136
90506,0,0.067591367
90507,0,0.107454494
90508,0,0.081491899
90509,0,0.055772908
90510,0,0.064515223
90511,0,0.06659289
90512,0,0.122522662
90513,0,0.072709321
90514,0,0.080558912
90515,0,0.056175654
90516,0,0.109001801
90517,0,0.068342026
90518,0,0.051387048
90519,1,0.344198278
90520,1,0.255262646
90521,1,0.467237856
90522,0,0.122980288
90523,0,0.211373851
90524,0,0.093247548
90525,0,0.13077942
90526,0,0.078203309
90527,0,0.014722235
90528,0,0.134454228
90529,0,0.07986356
90530,1,0.313315356
90531,0,0.088807211
90532,0,0.076616769
90533,0,0.081620153
90534,1,0.386577417
90535,0,0.060609864
90536,0,0.091408944
90537,0,0.072971036
90538,1,0.306227602
90539,0,0.066665273
90540,0,0.073344888
90541,1,0.269300136
90542,0,0.046968316
90543,0,0.076476867
90544,0,0.056217265
90545,0,0.16205966
90546,0,0.112489721
90547,0,0.071935609
90548,0,0.058371556
90549,0,0.067139114
90550,1,0.307916915
90551,0,0.175537851
90552,0,0.094678985
90553,0,0.075912585
90554,1,0.227619058
90555,0,0.113871769
90556,1,0.405800319
90557,0,0.074669185
90558,0,0.062416839
90559,0,0.120594907
90560,0,0.096484049
90561,0,0.067466061
90562,1,0.295820035
90563,0,0.120501986
90564,0,0.028114237
90565,1,0.263266932
90566,1,0.247799786
90567,0,0.069954211
90568,1,0.340422691
90569,0,0.073190454
90570,0,0.094429593
90571,0,0.07716276
90572,0,0.044622163
90573,0,0.06971296
90574,0,0.093150004
90575,0,0.137292811
90576,0,0.144303115
90577,0,0.197267786
90578,0,0.100413357
90579,0,0.071983744
90580,0,0.07315523
90581,0,0.119733857
90582,0,0.049655448
90583,0,0.20889759
90584,0,0.079147898
90585,0,0.08725499
90586,0,0.081053879
90587,0,0.054391299
90588,0,0.069160364
90589,0,0.077476851
90590,0,0.079543071
90591,0,0.064890175
90592,0,0.056707417
90593,0,0.084598139
90594,0,0.111338573
90595,0,0.083061436
90596,0,0.057531656
90597,0,0.05435926
90598,0,0.091268255
90599,0,0.118616412
90600,0,0.082850593
90601,0,0.075996515
90602,1,0.239581627
90603,0,0.05550755
90604,0,0.115283082
90605,0,0.164644107
90606,0,0.095191024
90607,0,0.093523607
90608,0,0.098706266
90609,0,0.057547783
90610,0,0.087191083
90611,0,0.062270521
90612,0,0.046729826
90613,0,0.064412297
90614,0,0.062833317
90615,0,0.099681801
90616,0,0.06501713
90617,0,0.058364356
90618,0,0.073538053
90619,0,0.059786756
90620,1,0.239597303
90621,0,0.058223565
90622,1,0.236750893
90623,0,0.055077384
90624,0,0.07700687
90625,0,0.147785393
90626,0,0.100655553
90627,0,0.124259016
90628,0,0.070604764
90629,0,0.053484758
90630,0,0.090934452
90631,0,0.062438725
90632,0,0.11969232
90633,0,0.055239389
90634,1,0.274372243
90635,0,0.096616837
90636,0,0.101005722
90637,0,0.050456317
90638,0,0.084989371
90639,0,0.057052994
90640,0,0.086710994
90641,0,0.123834494
90642,0,0.08252881
90643,0,0.080020148
90644,1,0.228267937
90645,1,0.33587121
90646,0,0.159939407
90647,0,0.065036062
90648,0,0.090975388
90649,1,0.350102266
90650,0,0.063451341
90651,0,0.165761084
90652,0,0.198350979
90653,0,0.093719209
90654,0,0.061981893
90655,0,0.108474529
90656,1,0.221173939
90657,0,0.094079916
90658,0,0.112695151
90659,0,0.065101658
90660,0,0.083351202
90661,0,0.06472396
90662,1,0.413212922
90663,0,0.076754481
90664,0,0.090006191
90665,1,0.218939079
90666,0,0.069056023
90667,0,0.09296042
90668,0,0.081418851
90669,1,0.466275087
90670,0,0.07239304
90671,0,0.075421918
90672,0,0.063596257
90673,0,0.197955792
90674,0,0.07161364
90675,0,0.097127702
90676,0,0.127567426
90677,0,0.064081025
90678,0,0.074119465
90679,0,0.046937464
90680,0,0.149884798
90681,0,0.08912476
90682,0,0.185077588
90683,0,0.06337683
90684,0,0.10352644
90685,0,0.092582309
90686,0,0.043526373
90687,0,0.063617276
90688,0,0.055858844
90689,0,0.074633214
90690,1,0.250498589
90691,1,0.219936578
90692,0,0.157453447
90693,1,0.285971125
90694,1,0.262194217
90695,1,0.287570824
90696,0,0.110552468
90697,0,0.049006483
90698,1,0.30969232
90699,0,0.090224793
90700,0,0.203921862
90701,0,0.161906702
90702,0,0.070299774
90703,0,0.118949546
90704,0,0.072490318
90705,0,0.130730244
90706,0,0.054172931
90707,1,0.270641822
90708,1,0.425044448
90709,0,0.090872083
90710,0,0.14508152
90711,0,0.061225148
90712,1,0.255937014
90713,0,0.080448427
90714,0,0.112735856
90715,0,0.054690941
90716,0,0.05121794
90717,0,0.07843575
90718,0,0.066911356
90719,1,0.225000283
90720,1,0.287255037
90721,0,0.064879601
90722,0,0.190106911
90723,0,0.068348256
90724,0,0.133124915
90725,1,0.344987939
90726,1,0.257971245
90727,0,0.062366694
90728,0,0.069273324
90729,0,0.0707099
90730,1,0.335163056
90731,0,0.158053684
90732,1,0.267113913
90733,0,0.078396996
90734,0,0.10232095
90735,0,0.110459848
90736,0,0.119853526
90737,0,0.08697921
90738,0,0.097048554
90739,0,0.084311284
90740,0,0.097156063
90741,0,0.209990331
90742,0,0.065306807
90743,0,0.07969171
90744,0,0.146784409
90745,0,0.064791985
90746,0,0.084917744
90747,0,0.04940213
90748,0,0.071149477
90749,0,0.095648697
90750,0,0.092852467
90751,1,0.290940529
90752,0,0.117769449
90753,0,0.063566619
90754,0,0.054473665
90755,0,0.073927993
90756,1,0.275061911
90757,0,0.155226841
90758,0,0.08440549
90759,0,0.10326515
90760,0,0.174486707
90761,0,0.121020015
90762,0,0.075270578
90763,0,0.092259958
90764,0,0.056004204
90765,0,0.085465645
90766,0,0.133156693
90767,1,0.426350087
90768,0,0.087154569
90769,0,0.084342522
90770,0,0.061171982
90771,0,0.208241662
90772,0,0.08730247
90773,0,0.099734107
90774,0,0.067863111
90775,0,0.08621513
90776,0,0.046494683
90777,0,0.061024068
90778,0,0.065636697
90779,0,0.061359608
90780,0,0.056815489
90781,0,0.10873914
90782,0,0.061041005
90783,1,0.223070271
90784,0,0.136715673
90785,0,0.05589294
90786,0,0.106641944
90787,0,0.094582169
90788,0,0.068530746
90789,0,0.035782918
90790,0,0.048695445
90791,0,0.062691444
90792,0,0.167994326
90793,0,0.037298069
90794,0,0.075510849
90795,0,0.055157905
90796,1,0.288863772
90797,0,0.110780994
90798,0,0.062911591
90799,0,0.077462707
90800,0,0.074009633
90801,0,0.081617458
90802,0,0.051909385
90803,0,0.076218626
90804,0,0.056815489
90805,0,0.046853076
90806,0,0.121631513
90807,0,0.081561136
90808,0,0.096401074
90809,0,0.094473215
90810,0,0.098068104
90811,0,0.060219542
90812,0,0.098709203
90813,0,0.163772477
90814,0,0.172483446
90815,0,0.085118687
90816,0,0.071745666
90817,0,0.074096945
90818,0,0.208246612
90819,0,0.077754025
90820,0,0.06956031
90821,0,0.140785206
90822,0,0.051086757
90823,0,0.165498974
90824,0,0.104062674
90825,0,0.065315228
90826,0,0.144974183
90827,0,0.06085466
90828,0,0.089811559
90829,0,0.071890198
90830,0,0.105882021
90831,0,0.076648525
90832,0,0.103093656
90833,1,0.430053049
90834,0,0.061548943
90835,0,0.123389449
90836,0,0.073505962
90837,0,0.068442769
90838,1,0.226295757
90839,0,0.08453734
90840,0,0.077515338
90841,0,0.043680905
90842,0,0.092276676
90843,0,0.19622744
90844,0,0.066273923
90845,0,0.081395835
90846,0,0.089698162
90847,1,0.278945911
90848,0,0.107302828
90849,1,0.25208179
90850,0,0.063281002
90851,0,0.059456954
90852,0,0.043642018
90853,1,0.326548891
90854,0,0.081011841
90855,0,0.108737057
90856,0,0.084739531
90857,0,0.19420785
90858,0,0.205565095
90859,0,0.096447753
90860,1,0.219411424
90861,0,0.077057694
90862,0,0.082647808
90863,0,0.052695615
90864,0,0.085499861
90865,0,0.177462582
90866,0,0.069574442
90867,0,0.057699916
90868,0,0.066649254
90869,0,0.174088973
90870,0,0.075899836
90871,0,0.079732018
90872,0,0.046639261
90873,0,0.119069091
90874,0,0.087719065
90875,0,0.065609723
90876,0,0.069059788
90877,1,0.278839478
90878,0,0.055430157
90879,0,0.076154382
90880,0,0.062528646
90881,0,0.084568906
90882,0,0.097216246
90883,0,0.064032838
90884,0,0.081117547
90885,0,0.055928281
90886,0,0.102562956
90887,0,0.055248529
90888,0,0.082037028
90889,0,0.069574442
90890,0,0.064636341
90891,1,0.246510141
90892,0,0.14508021
90893,1,0.245610168
90894,0,0.063623938
90895,0,0.081494103
90896,0,0.143367148
90897,0,0.097389183
90898,0,0.216152334
90899,0,0.063027261
90900,1,0.239310083
90901,0,0.080937865
90902,1,0.295165825
90903,0,0.106395173
90904,0,0.059154989
90905,1,0.33521123
90906,0,0.078696318
90907,0,0.092462619
90908,0,0.06337683
90909,0,0.098537941
90910,0,0.079923772
90911,0,0.116754102
90912,0,0.087703621
90913,0,0.192309671
90914,0,0.068331673
90915,0,0.092264513
90916,0,0.073482577
90917,0,0.186757058
90918,0,0.0621108
90919,0,0.09592001
90920,1,0.303714697
90921,0,0.071044778
90922,0,0.129934341
90923,0,0.098596713
90924,1,0.397188524
90925,0,0.10703712
90926,0,0.184160438
90927,0,0.056649624
90928,0,0.168546193
90929,0,0.059442126
90930,0,0.071662404
90931,1,0.252333909
90932,0,0.082508799
90933,1,0.222654126
90934,0,0.109286705
90935,1,0.381290533
90936,0,0.149680661
90937,0,0.08752467
90938,0,0.099925411
90939,0,0.097046897
90940,0,0.129260598
90941,0,0.151093358
90942,0,0.076790666
90943,0,0.083147431
90944,0,0.068328464
90945,0,0.060127714
90946,0,0.081569308
90947,0,0.093584905
90948,0,0.120272862
90949,0,0.0913611
90950,1,0.2324211
90951,1,0.405803703
90952,0,0.151789832
90953,0,0.083834559
90954,0,0.110754305
90955,0,0.113593484
90956,0,0.074609479
90957,0,0.132836841
90958,0,0.118014218
90959,0,0.064665898
90960,1,0.230249829
90961,0,0.05534302
90962,1,0.313469231
90963,0,0.063056407
90964,0,0.081589537
90965,0,0.089732276
90966,0,0.058072521
90967,0,0.125908691
90968,0,0.067191482
90969,1,0.325759248
90970,0,0.133468991
90971,0,0.088735223
90972,0,0.119729159
90973,0,0.106829358
90974,0,0.071773935
90975,1,0.289175247
90976,0,0.086165382
90977,1,0.283217909
90978,0,0.136574608
90979,0,0.094482653
90980,0,0.062817177
90981,0,0.099164898
90982,0,0.100897704
90983,0,0.097185037
90984,0,0.054616142
90985,0,0.052896382
90986,0,0.063831887
90987,0,0.169205349
90988,0,0.072318472
90989,0,0.139957074
90990,0,0.066383577
90991,0,0.061906566
90992,0,0.120013974
90993,0,0.130455802
90994,0,0.15957109
90995,0,0.061138608
90996,0,0.059243205
90997,0,0.084640502
90998,0,0.05509909
90999,0,0.065515055
91000,0,0.063995983
91001,0,0.082139381
91002,0,0.053033459
91003,0,0.046927954
91004,0,0.066843777
91005,0,0.049297272
91006,0,0.134528895
91007,1,0.25798724
91008,0,0.070820056
91009,0,0.095758847
91010,0,0.199001886
91011,0,0.113684518
91012,0,0.059780557
91013,0,0.083777005
91014,0,0.070723206
91015,0,0.082883116
91016,0,0.056215856
91017,0,0.107519077
91018,0,0.068618809
91019,0,0.102594235
91020,0,0.087455913
91021,0,0.109558994
91022,0,0.202660572
91023,1,0.269066808
91024,0,0.069383063
91025,0,0.125499197
91026,0,0.187048009
91027,0,0.088063225
91028,0,0.166502553
91029,0,0.065330127
91030,1,0.453318388
91031,0,0.129417789
91032,1,0.298883329
91033,0,0.086897156
91034,0,0.053921754
91035,0,0.11047637
91036,0,0.063853572
91037,0,0.100050224
91038,0,0.070760579
91039,0,0.080819792
91040,0,0.064635057
91041,0,0.066465347
91042,0,0.06169684
91043,0,0.069980533
91044,0,0.123646997
91045,0,0.067937915
91046,0,0.061622378
91047,0,0.070924705
91048,0,0.069233376
91049,0,0.075663177
91050,0,0.097963839
91051,0,0.096199588
91052,0,0.071620667
91053,1,0.404052833
91054,0,0.058159464
91055,0,0.071467681
91056,0,0.048352788
91057,0,0.072427053
91058,0,0.104623891
91059,0,0.118980991
91060,0,0.067197505
91061,0,0.066907241
91062,0,0.050778092
91063,1,0.240628946
91064,1,0.271890641
91065,0,0.074060668
91066,0,0.086743414
91067,1,0.22484815
91068,0,0.066490054
91069,0,0.083063591
91070,1,0.289695488
91071,0,0.11989151
91072,0,0.082637572
91073,0,0.201847703
91074,0,0.082840303
91075,0,0.065545039
91076,0,0.07302543
91077,0,0.098971804
91078,0,0.070810523
91079,1,0.357101682
91080,0,0.118234465
91081,0,0.058969153
91082,0,0.069872475
91083,0,0.073362202
91084,0,0.059079648
91085,0,0.062521681
91086,0,0.101765496
91087,1,0.335556303
91088,0,0.069737286
91089,0,0.102209576
91090,0,0.110166968
91091,0,0.140111543
91092,0,0.162262914
91093,0,0.13226381
91094,0,0.084227074
91095,0,0.106151091
91096,0,0.202337515
91097,1,0.35230884
91098,1,0.255057053
91099,0,0.092104958
91100,0,0.049857322
91101,0,0.129212998
91102,0,0.118244363
91103,0,0.102236276
91104,0,0.017836762
91105,0,0.083893103
91106,0,0.079243099
91107,0,0.062697976
91108,0,0.072053638
91109,0,0.074716051
91110,0,0.07788366
91111,0,0.139039866
91112,0,0.066165562
91113,0,0.068331673
91114,0,0.075845934
91115,0,0.202728887
91116,0,0.097186583
91117,1,0.30920311
91118,0,0.098835425
91119,0,0.073319369
91120,0,0.070430098
91121,0,0.093685904
91122,0,0.07220706
91123,0,0.06705077
91124,0,0.05499546
91125,0,0.122746835
91126,0,0.071966933
91127,0,0.047935701
91128,1,0.329487094
91129,0,0.138251578
91130,0,0.130686062
91131,0,0.072331038
91132,0,0.067863111
91133,1,0.239484676
91134,0,0.099914934
91135,0,0.066237916
91136,0,0.076618595
91137,0,0.076568178
91138,0,0.066164589
91139,0,0.067866327
91140,0,0.116259981
91141,0,0.070581436
91142,0,0.083006467
91143,0,0.166221947
91144,0,0.194845064
91145,0,0.080237735
91146,0,0.072361884
91147,1,0.312357964
91148,0,0.085281506
91149,0,0.124817244
91150,0,0.051340892
91151,0,0.060512238
91152,0,0.087735878
91153,0,0.060160804
91154,0,0.112272101
91155,0,0.077520225
91156,0,0.045184913
91157,0,0.088097684
91158,0,0.062862151
91159,0,0.045885805
91160,0,0.060955161
91161,0,0.049584019
91162,0,0.105112946
91163,0,0.080854397
91164,1,0.372330144
91165,0,0.080971776
91166,0,0.073803887
91167,0,0.07134754
91168,0,0.078081545
91169,0,0.109717183
91170,0,0.064396476
91171,0,0.091641335
91172,0,0.153046423
91173,0,0.183378651
91174,0,0.046692426
91175,0,0.100459492
91176,1,0.27569655
91177,0,0.084182397
91178,1,0.302840943
91179,0,0.093262581
91180,0,0.105796795
91181,0,0.074012041
91182,0,0.046376261
91183,0,0.057476464
91184,0,0.067298808
91185,0,0.08720984
91186,0,0.043671988
91187,0,0.055379593
91188,0,0.072771846
91189,0,0.042824129
91190,0,0.110614062
91191,1,0.27217889
91192,0,0.067500385
91193,0,0.069527394
91194,0,0.076870376
91195,1,0.469907902
91196,1,0.335350831
91197,0,0.070430098
91198,0,0.110576858
91199,0,0.06117195
91200,0,0.135644924
91201,0,0.090453226
91202,0,0.116811233
91203,0,0.073937495
91204,0,0.102221388
91205,0,0.181012689
91206,0,0.072401104
91207,1,0.305589552
91208,0,0.159505456
91209,0,0.093161288
91210,0,0.057985
91211,0,0.122768718
91212,0,0.060065396
91213,0,0.16284242
91214,0,0.116458134
91215,0,0.086793263
91216,0,0.065243549
91217,0,0.167383234
91218,0,0.064165312
91219,0,0.103866234
91220,0,0.11535379
91221,0,0.201286758
91222,0,0.214042042
91223,0,0.051249844
91224,1,0.342494192
91225,0,0.09375709
91226,0,0.112571223
91227,0,0.073339664
91228,0,0.102873573
91229,0,0.072220729
91230,0,0.056927679
91231,0,0.073375126
91232,0,0.076828285
91233,0,0.079291856
91234,0,0.097577487
91235,0,0.041123607
91236,0,0.128819281
91237,0,0.066356979
91238,0,0.085404887
91239,0,0.062676203
91240,0,0.216778898
91241,0,0.106606338
91242,0,0.058208651
91243,0,0.095906225
91244,0,0.083573011
91245,0,0.046865365
91246,0,0.054458037
91247,0,0.080621695
91248,0,0.075023266
91249,1,0.232852775
91250,0,0.14692049
91251,0,0.067161526
91252,0,0.181042831
91253,1,0.306729477
91254,0,0.157665964
91255,1,0.32157455
91256,1,0.297100236
91257,0,0.124808346
91258,0,0.194649111
91259,0,0.095360391
91260,0,0.109950831
91261,0,0.200651461
91262,0,0.085644316
91263,0,0.097044595
91264,0,0.214190302
91265,0,0.141786292
91266,0,0.137376598
91267,1,0.437190047
91268,1,0.262391391
